Date,Goods,Services,Total_Spending, Goods_Change_yoy,Services_Change_yoy,Spending_Change_yoy,Personal_Income,Unemployment ,Cumulative Cases,Cumulative Deaths,New_Cases,New_Deaths
6/1/08,3471,6716.1,10187.1,0.034513591,0.057387115,0.049480776,12713.5,0.056,0,0,0,0
7/1/08,3456.2,6728.9,10185.1,0.023907569,0.055397839,0.044497088,12564,0.058,0,0,0,0
8/1/08,3451.2,6724.6,10175.8,0.025037869,0.045491294,0.038463501,12472.5,0.061,0,0,0,0
9/1/08,3376.3,6740.1,10116.4,-0.006269131,0.045398145,0.027567293,12489.4,0.061,0,0,0,0
10/1/08,3289.5,6744.6,10034.1,-0.034204345,0.041363657,0.0153197,12489.4,0.065,0,0,0,0
11/1/08,3155.4,6729.8,9885.2,-0.083451942,0.033255543,-0.007101317,12427.1,0.068,0,0,0,0
12/1/08,3080.3,6721.2,9801.5,-0.103495445,0.028193792,-0.017176721,12274.1,0.073,0,0,0,0
1/1/09,3133.3,6714,9847.3,-0.084098217,0.021078566,-0.01491537,12155.6,0.078,0,0,0,0
2/1/09,3136.4,6688.1,9824.5,-0.073934097,0.014132132,-0.01574882,12031.7,0.083,0,0,0,0
3/1/09,3090.4,6682.8,9773.2,-0.094069709,0.008892042,-0.026108099,11983.8,0.087,0,0,0,0
4/1/09,3098.4,6674.1,9772.5,-0.092788335,0.002870023,-0.029572108,12022.2,0.09,0,0,0,0
5/1/09,3130.6,6661,9791.6,-0.091104401,-0.004022189,-0.033625139,12188.9,0.094,0,0,0,0
6/1/09,3174.5,6678,9852.5,-0.085422069,-0.005672935,-0.032845461,12050.9,0.095,0,0,0,0
7/1/09,3195.8,6690.4,9886.2,-0.075342862,-0.005721589,-0.029346791,12007.4,0.095,0,0,0,0
8/1/09,3286.9,6717.2,10004.1,-0.04760663,-0.001100437,-0.016873366,12021,0.096,0,0,0,0
9/1/09,3202.7,6725.2,9927.9,-0.051417232,-0.00221065,-0.018633111,12071.4,0.098,0,0,0,0
10/1/09,3222.4,6754.3,9976.7,-0.020398237,0.001438188,-0.005720493,12080.2,0.1,0,0,0,0
11/1/09,3237.1,6748.6,9985.7,0.025892121,0.002793545,0.010166714,12143.6,0.099,0,0,0,0
12/1/09,3251.8,6800.8,10052.6,0.055676395,0.011843123,0.025618528,12208.3,0.099,0,0,0,0
1/1/10,3247.6,6808.5,10056.1,0.036479111,0.014075067,0.021203782,12296.6,0.098,0,0,0,0
2/1/10,3251.8,6841.7,10093.5,0.036793776,0.022966164,0.027380528,12301.4,0.098,0,0,0,0
3/1/10,3299.1,6856.9,10156,0.067531711,0.026051954,0.039168338,12365.6,0.099,0,0,0,0
4/1/10,3303,6879.3,10182.3,0.066034082,0.030745719,0.041933998,12473.3,0.099,0,0,0,0
5/1/10,3282.9,6927.9,10210.8,0.048648821,0.040069059,0.042812206,12575.2,0.096,0,0,0,0
6/1/10,3287.8,6943.5,10231.3,0.03569066,0.039757412,0.038447095,12585.4,0.094,0,0,0,0
7/1/10,3293.7,6974.5,10268.2,0.030633957,0.042463829,0.03863972,12629.5,0.094,0,0,0,0
8/1/10,3315.9,6991.2,10307.1,0.008822903,0.040790806,0.030287582,12697.4,0.095,0,0,0,0
9/1/10,3335.8,6991.3,10327.1,0.041558685,0.039567597,0.040209913,12719.1,0.095,0,0,0,0
10/1/10,3377.1,7009.3,10386.4,0.048007696,0.037753727,0.041065683,12768,0.094,0,0,0,0
11/1/10,3400.9,7032.7,10433.6,0.050600846,0.04209762,0.044854141,12808.4,0.098,0,0,0,0
12/1/10,3418.5,7052.5,10471,0.051263915,0.037010352,0.041621073,12914.3,0.093,0,0,0,0
1/1/11,3450.4,7063.8,10514.2,0.062446114,0.037497246,0.04555444,13120,0.091,0,0,0,0
2/1/11,3457.2,7083.4,10540.6,0.063165016,0.035327477,0.044295834,13193.3,0.09,0,0,0,0
3/1/11,3499.5,7120.3,10619.8,0.060743839,0.03841386,0.045667586,13214.3,0.09,0,0,0,0
4/1/11,3521.3,7130.8,10652.1,0.066091432,0.036558952,0.046138888,13247.4,0.091,0,0,0,0
5/1/11,3506.3,7165.9,10672.2,0.06804959,0.034353845,0.045187449,13270.9,0.09,0,0,0,0
6/1/11,3515.8,7179,10694.8,0.069347284,0.033916613,0.045302161,13323.5,0.091,0,0,0,0
